first_class,second_class,third_class
9.Invalid,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
1.GoStraight,9.9 Invalid,9.9.9 Invalid
