first_class,second_class,third_class
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.8 Avoidance,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
