first_class,second_class,third_class
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.4 LeadVehicleStppoed
2. Crossing,2.1 StopAndWait,2.1.2 StopAtYellowLight
2. Crossing,2.1 StopAndWait,2.1.2 StopAtYellowLight
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
2. Crossing,2.5 TurnLeft,2.5.2 WithLeadVehicle
1.GoStraight,1.1 InLane,9.9.9 Invalid
1.GoStraight,1.1 InLane,9.9.9 Invalid
